sub,title,index,duration,parallel,pre-dependency,nxt-dependency,start,finish,real start,real finish
0,to-die-for-crock-pot-roast-27208,4,480,TRUE,[3],[],0,480,0,480
1,ice-cubes-420398,5,360,TRUE,[4],[],0,360,0,360
2,crock-pot-chicken-with-black-beans-cream-cheese-89204,3,300,TRUE,[2],[4],0,300,0,300
3,beer-bread-73440,5,75,TRUE,[4],[],0,75,0,75
4,yes-virginia-there-is-a-great-meatloaf-54257,4,75,TRUE,[3],[],0,75,0,75
5,banana-banana-bread-25885,8,65,TRUE,"[1, 7]",[9],0,65,0,65
6,best-ever-banana-cake-with-cream-cheese-frosting-67256,9,60,TRUE,[8],[10],0,60,0,60
7,jo-mamas-world-famous-spaghetti-22782,7,60,TRUE,[6],[8],0,60,0,60
8,quot-whatever-floats-your-boat-quot-brownies-32204,9,60,TRUE,[8],[],0,60,0,60
9,scalloped-potatoes-85629,11,60,TRUE,[10],[],0,60,0,60
10,best-banana-bread-2886,9,55,TRUE,[8],[10],0,55,0,55
11,best-ever-banana-cake-with-cream-cheese-frosting-67256,10,45,TRUE,[9],[14],0,45,0,45
12,kittencals-moist-cheddar-garlic-oven-fried-chicken-breast-82102,6,45,FALSE,"[2, 5]",[7],0,45,0,45
13,crock-pot-chicken-with-black-beans-cream-cheese-89204,4,30,TRUE,[3],[],0,30,45,75
14,creamy-burrito-casserole-33919,10,25,TRUE,"[2, 9]",[],0,25,45,70
15,japanese-mums-chicken-68955,2,25,TRUE,[1],[3],0,25,45,70
16,oven-fried-chicken-chimichangas-28148,6,25,TRUE,"[1, 5]",[7],0,25,45,70
17,quot-whatever-floats-your-boat-quot-brownies-32204,8,25,TRUE,[7],[9],0,25,45,70
18,bourbon-chicken-45809,6,20,TRUE,[5],[],0,20,45,65
19,fannie-farmers-classic-baked-macaroni-cheese-135350,13,20,TRUE,"[1, 12]",[],0,20,45,65
20,kittencals-italian-melt-in-your-mouth-meatballs-69173,3,20,TRUE,[2],[4],0,20,45,65
21,kittencals-italian-melt-in-your-mouth-meatballs-69173,4,20,TRUE,[3],[5],0,20,45,65
22,kittencals-italian-melt-in-your-mouth-meatballs-69173,5,20,TRUE,[4],[],0,20,45,65
23,simply-sour-cream-chicken-enchiladas-129926,7,20,TRUE,[6],[],0,20,45,65
24,best-ever-banana-cake-with-cream-cheese-frosting-67256,1,15,TRUE,[],[],0,15,45,60
25,japanese-mums-chicken-68955,4,15,FALSE,[3],[5],0,15,45,60
26,kittencals-italian-melt-in-your-mouth-meatballs-69173,2,15,FALSE,[1],[3],0,15,60,75
27,paneras-cream-cheese-potato-soup-150863,2,15,TRUE,[1],[3],0,15,75,90
28,soft-snickerdoodle-cookies-97496,5,15,TRUE,[4],[7],0,15,75,90
29,oatmeal-raisin-cookies-35813,9,12,TRUE,[8],[10],0,12,75,87
30,southern-buttermilk-biscuits-26110,10,11,TRUE,[9],[],0,11,75,86
31,banana-banana-bread-25885,1,10,TRUE,[],[8],0,10,75,85
32,banana-banana-bread-25885,9,10,TRUE,[8],[],0,10,75,85
33,beer-bread-73440,1,10,TRUE,[],[],0,10,75,85
34,best-banana-bread-2886,2,10,TRUE,[1],[],0,10,75,85
35,bourbon-chicken-45809,3,10,FALSE,[2],"[4, 5]",0,10,75,85
36,bourbon-chicken-45809,5,10,TRUE,[3],[6],0,10,85,95
37,creamy-burrito-casserole-33919,1,10,FALSE,[],[2],0,10,85,95
38,fannie-farmers-classic-baked-macaroni-cheese-135350,1,10,TRUE,[],[13],0,10,95,105
39,fannie-farmers-classic-baked-macaroni-cheese-135350,2,10,TRUE,[],[10],0,10,95,105
40,fannie-farmers-classic-baked-macaroni-cheese-135350,7,10,FALSE,[6],[8],0,10,95,105
41,jo-mamas-world-famous-spaghetti-22782,8,10,FALSE,[7],[9],0,10,105,115
42,kittencals-moist-cheddar-garlic-oven-fried-chicken-breast-82102,1,10,TRUE,[],[2],0,10,115,125
43,oatmeal-raisin-cookies-35813,1,10,TRUE,[],[],0,10,115,125
44,quot-whatever-floats-your-boat-quot-brownies-32204,1,10,TRUE,[],[],0,10,115,125
45,scalloped-potatoes-85629,4,10,TRUE,[3],[5],0,10,115,125
46,simply-sour-cream-chicken-enchiladas-129926,1,10,FALSE,[],[2],0,10,115,125
47,simply-sour-cream-chicken-enchiladas-129926,3,10,FALSE,[2],[4],0,10,125,135
48,soft-snickerdoodle-cookies-97496,1,10,TRUE,[],[],0,10,135,145
49,soft-snickerdoodle-cookies-97496,9,10,TRUE,[8],[10],0,10,135,145
50,southern-buttermilk-biscuits-26110,1,10,TRUE,[],[],0,10,135,145
51,yes-virginia-there-is-a-great-meatloaf-54257,1,10,FALSE,[],[2],0,10,135,145
52,bourbon-chicken-45809,2,8,FALSE,[1],[3],0,8,145,153
53,jo-mamas-world-famous-spaghetti-22782,1,8,FALSE,[],[2],0,8,153,161
54,creamy-cajun-chicken-pasta-39087,2,7,FALSE,[1],[3],0,7,161,168
55,the-best-easy-beef-and-broccoli-stir-fry-99476,4,7,FALSE,[3],[5],0,7,168,175
56,best-banana-bread-2886,3,5,FALSE,[],[4],0,5,175,180
57,best-ever-banana-cake-with-cream-cheese-frosting-67256,5,5,FALSE,[],[6],0,5,180,185
58,best-ever-banana-cake-with-cream-cheese-frosting-67256,7,5,FALSE,"[4, 6]",[8],0,5,185,190
59,best-ever-banana-cake-with-cream-cheese-frosting-67256,14,5,FALSE,"[10, 13]",[15],0,5,190,195
60,bourbon-chicken-45809,4,5,TRUE,[3],[],0,5,195,200
61,creamy-cajun-chicken-pasta-39087,3,5,TRUE,[2],[4],0,5,195,200
62,fannie-farmers-classic-baked-macaroni-cheese-135350,6,5,FALSE,[5],[7],0,5,195,200
63,fannie-farmers-classic-baked-macaroni-cheese-135350,8,5,FALSE,[7],[9],0,5,200,205
64,ice-cubes-420398,2,5,FALSE,[1],[3],0,5,205,210
65,japanese-mums-chicken-68955,3,5,FALSE,[2],[4],0,5,210,215
66,jo-mamas-world-famous-spaghetti-22782,2,5,TRUE,[1],[3],0,5,215,220
67,jo-mamas-world-famous-spaghetti-22782,5,5,TRUE,[4],[6],0,5,215,220
68,kittencals-moist-cheddar-garlic-oven-fried-chicken-breast-82102,7,5,TRUE,[6],[],0,5,215,220
69,oven-fried-chicken-chimichangas-28148,1,5,FALSE,[],"[2, 6]",0,5,215,220
70,paneras-cream-cheese-potato-soup-150863,6,5,FALSE,[5],[],0,5,220,225
71,simply-sour-cream-chicken-enchiladas-129926,4,5,FALSE,[3],[5],0,5,225,230
72,soft-snickerdoodle-cookies-97496,2,5,FALSE,[],[4],0,5,230,235
73,soft-snickerdoodle-cookies-97496,4,5,FALSE,"[2, 3]",[5],0,5,235,240
74,soft-snickerdoodle-cookies-97496,7,5,FALSE,"[5, 6]",[8],0,5,240,245
75,southern-buttermilk-biscuits-26110,3,5,FALSE,[],[4],0,5,245,250
76,southern-buttermilk-biscuits-26110,8,5,FALSE,[7],[9],0,5,250,255
77,the-best-easy-beef-and-broccoli-stir-fry-99476,3,5,TRUE,[],[4],0,5,255,260
78,the-best-easy-beef-and-broccoli-stir-fry-99476,7,5,FALSE,[6],[],0,5,255,260
79,banana-banana-bread-25885,4,4,FALSE,[],[5],0,4,260,264
80,creamy-burrito-casserole-33919,2,4,FALSE,[1],[10],0,4,264,268
81,fannie-farmers-classic-baked-macaroni-cheese-135350,3,4,TRUE,[],[4],0,4,268,272
82,kittencals-italian-melt-in-your-mouth-meatballs-69173,1,4,FALSE,[],[2],0,4,268,272
83,oven-fried-chicken-chimichangas-28148,2,4,FALSE,[1],[3],0,4,272,276
84,simply-sour-cream-chicken-enchiladas-129926,2,4,FALSE,[1],[3],0,4,276,280
85,banana-banana-bread-25885,3,3,FALSE,[],[6],0,3,280,283
86,beer-bread-73440,2,3,FALSE,[],[3],0,3,283,286
87,best-ever-banana-cake-with-cream-cheese-frosting-67256,2,3,FALSE,[],[],0,3,286,289
88,best-ever-banana-cake-with-cream-cheese-frosting-67256,4,3,FALSE,[],[7],0,3,289,292
89,best-ever-banana-cake-with-cream-cheese-frosting-67256,11,3,FALSE,[],[12],0,3,292,295
90,best-ever-banana-cake-with-cream-cheese-frosting-67256,13,3,FALSE,[12],[14],0,3,295,298
91,creamy-burrito-casserole-33919,3,3,FALSE,[],[4],0,3,298,301
92,crock-pot-chicken-with-black-beans-cream-cheese-89204,2,3,FALSE,[1],[3],0,3,301,304
93,fannie-farmers-classic-baked-macaroni-cheese-135350,5,3,FALSE,[4],[6],0,3,304,307
94,japanese-mums-chicken-68955,5,3,FALSE,[4],[],0,3,307,310
95,jo-mamas-world-famous-spaghetti-22782,9,3,FALSE,[8],[],0,3,310,313
96,kittencals-moist-cheddar-garlic-oven-fried-chicken-breast-82102,5,3,FALSE,"[3, 4]",[6],0,3,313,316
97,oatmeal-raisin-cookies-35813,2,3,TRUE,[],[5],0,3,316,319
98,oatmeal-raisin-cookies-35813,3,3,FALSE,[],[4],0,3,316,319
99,oatmeal-raisin-cookies-35813,4,3,FALSE,[3],[5],0,3,319,322
100,oven-fried-chicken-chimichangas-28148,7,3,FALSE,[6],[],0,3,322,325
101,pancakes-25690,6,3,FALSE,[5],[],0,3,325,328
102,paneras-cream-cheese-potato-soup-150863,1,3,FALSE,[],[2],0,3,328,331
103,quot-whatever-floats-your-boat-quot-brownies-32204,5,3,FALSE,[4],[6],0,3,331,334
104,scalloped-potatoes-85629,1,3,FALSE,[],[2],0,3,334,337
105,scalloped-potatoes-85629,8,3,FALSE,[7],[9],0,3,337,340
106,simply-sour-cream-chicken-enchiladas-129926,5,3,FALSE,[4],[6],0,3,340,343
107,southern-buttermilk-biscuits-26110,7,3,FALSE,[6],[8],0,3,343,346
108,the-best-easy-beef-and-broccoli-stir-fry-99476,5,3,FALSE,[4],[6],0,3,346,349
109,yes-virginia-there-is-a-great-meatloaf-54257,3,3,FALSE,[2],[4],0,3,349,352
110,banana-banana-bread-25885,2,2,FALSE,[],[],0,2,352,354
111,banana-banana-bread-25885,5,2,FALSE,[4],[6],0,2,354,356
112,banana-banana-bread-25885,6,2,FALSE,"[3, 5]",[7],0,2,356,358
113,banana-banana-bread-25885,7,2,FALSE,[6],[8],0,2,358,360
114,beer-bread-73440,3,2,FALSE,[2],[4],0,2,360,362
115,best-banana-bread-2886,1,2,FALSE,[],[2],0,2,362,364
116,best-banana-bread-2886,4,2,FALSE,[3],[5],0,2,364,366
117,best-banana-bread-2886,5,2,FALSE,[4],[6],0,2,366,368
118,best-banana-bread-2886,6,2,FALSE,[5],[7],0,2,368,370
119,best-banana-bread-2886,8,2,FALSE,[7],[9],0,2,370,372
120,best-ever-banana-cake-with-cream-cheese-frosting-67256,3,2,FALSE,[],[8],0,2,372,374
121,best-ever-banana-cake-with-cream-cheese-frosting-67256,6,2,FALSE,[5],[7],0,2,374,376
122,best-ever-banana-cake-with-cream-cheese-frosting-67256,8,2,FALSE,"[3, 7]",[9],0,2,376,378
123,best-ever-banana-cake-with-cream-cheese-frosting-67256,15,2,FALSE,[14],[],0,2,378,380
124,bourbon-chicken-45809,1,2,FALSE,[],[2],0,2,380,382
125,creamy-burrito-casserole-33919,5,2,FALSE,[4],[6],0,2,382,384
126,creamy-burrito-casserole-33919,6,2,FALSE,[5],[7],0,2,384,386
127,creamy-burrito-casserole-33919,7,2,FALSE,[6],[8],0,2,386,388
128,creamy-cajun-chicken-pasta-39087,1,2,FALSE,[],[2],0,2,388,390
129,creamy-cajun-chicken-pasta-39087,4,2,FALSE,[3],[],0,2,390,392
130,crock-pot-chicken-with-black-beans-cream-cheese-89204,1,2,FALSE,[],[2],0,2,392,394
131,fannie-farmers-classic-baked-macaroni-cheese-135350,4,2,FALSE,[3],[5],0,2,394,396
132,fannie-farmers-classic-baked-macaroni-cheese-135350,10,2,FALSE,"[2, 9]",[11],0,2,396,398
133,fannie-farmers-classic-baked-macaroni-cheese-135350,11,2,FALSE,[10],[12],0,2,398,400
134,ice-cubes-420398,1,2,FALSE,[],[2],0,2,400,402
135,ice-cubes-420398,3,2,FALSE,[2],[4],0,2,402,404
136,japanese-mums-chicken-68955,1,2,FALSE,[],[2],0,2,404,406
137,jo-mamas-world-famous-spaghetti-22782,3,2,FALSE,[2],[4],0,2,406,408
138,jo-mamas-world-famous-spaghetti-22782,4,2,FALSE,[3],[5],0,2,408,410
139,jo-mamas-world-famous-spaghetti-22782,6,2,FALSE,[5],[7],0,2,410,412
140,kittencals-moist-cheddar-garlic-oven-fried-chicken-breast-82102,2,2,FALSE,[1],[6],0,2,412,414
141,kittencals-moist-cheddar-garlic-oven-fried-chicken-breast-82102,3,2,FALSE,[],[5],0,2,414,416
142,kittencals-moist-cheddar-garlic-oven-fried-chicken-breast-82102,4,2,FALSE,[],[5],0,2,416,418
143,oatmeal-raisin-cookies-35813,5,2,FALSE,"[2, 4]",[6],0,2,418,420
144,oatmeal-raisin-cookies-35813,6,2,FALSE,[5],[7],0,2,420,422
145,oatmeal-raisin-cookies-35813,8,2,FALSE,[7],[9],0,2,422,424
146,oatmeal-raisin-cookies-35813,10,2,TRUE,[9],[],0,2,424,426
147,oven-fried-chicken-chimichangas-28148,4,2,FALSE,[3],[5],0,2,424,426
148,oven-fried-chicken-chimichangas-28148,5,2,FALSE,[4],[6],0,2,426,428
149,pancakes-25690,1,2,FALSE,[],[2],0,2,428,430
150,pancakes-25690,2,2,FALSE,[1],[3],0,2,430,432
151,pancakes-25690,3,2,FALSE,[2],[5],0,2,432,434
152,pancakes-25690,4,2,FALSE,[],[],0,2,434,436
153,paneras-cream-cheese-potato-soup-150863,3,2,FALSE,[2],[4],0,2,436,438
154,paneras-cream-cheese-potato-soup-150863,5,2,FALSE,[4],[6],0,2,438,440
155,quot-whatever-floats-your-boat-quot-brownies-32204,2,2,FALSE,[],[3],0,2,440,442
156,quot-whatever-floats-your-boat-quot-brownies-32204,3,2,FALSE,[2],[4],0,2,442,444
157,quot-whatever-floats-your-boat-quot-brownies-32204,6,2,FALSE,[5],[7],0,2,444,446
158,scalloped-potatoes-85629,5,2,FALSE,[4],[7],0,2,446,448
159,scalloped-potatoes-85629,6,2,FALSE,[],[7],0,2,448,450
160,scalloped-potatoes-85629,7,2,FALSE,"[5, 6]",[8],0,2,450,452
161,scalloped-potatoes-85629,9,2,FALSE,[8],[10],0,2,452,454
162,simply-sour-cream-chicken-enchiladas-129926,6,2,FALSE,[5],[7],0,2,454,456
163,soft-snickerdoodle-cookies-97496,3,2,FALSE,[],[4],0,2,456,458
164,soft-snickerdoodle-cookies-97496,6,2,FALSE,[],[7],0,2,458,460
165,soft-snickerdoodle-cookies-97496,8,2,FALSE,[7],[9],0,2,460,462
166,soft-snickerdoodle-cookies-97496,10,2,FALSE,[9],[],0,2,462,464
167,southern-buttermilk-biscuits-26110,2,2,FALSE,[],[4],0,2,464,466
168,southern-buttermilk-biscuits-26110,4,2,FALSE,"[2, 3]",[5],0,2,466,468
169,southern-buttermilk-biscuits-26110,6,2,FALSE,[5],[7],0,2,468,470
170,southern-buttermilk-biscuits-26110,9,2,FALSE,[8],[10],0,2,470,472
171,the-best-easy-beef-and-broccoli-stir-fry-99476,1,2,FALSE,[],[2],0,2,472,474
172,the-best-easy-beef-and-broccoli-stir-fry-99476,2,2,FALSE,[1],[],0,2,474,476
173,the-best-easy-beef-and-broccoli-stir-fry-99476,6,2,FALSE,[5],[7],0,2,476,478
174,to-die-for-crock-pot-roast-27208,1,2,FALSE,[],[2],0,2,478,480
175,to-die-for-crock-pot-roast-27208,2,2,FALSE,[1],[3],0,2,480,482
176,yes-virginia-there-is-a-great-meatloaf-54257,2,2,FALSE,[1],[3],0,2,482,484
177,beer-bread-73440,4,1,FALSE,[3],[5],0,1,484,485
178,best-banana-bread-2886,7,1,FALSE,[6],[8],0,1,485,486
179,best-ever-banana-cake-with-cream-cheese-frosting-67256,12,1,FALSE,[11],[13],0,1,486,487
180,creamy-burrito-casserole-33919,4,1,FALSE,[3],[5],0,1,487,488
181,creamy-burrito-casserole-33919,8,1,FALSE,[7],[9],0,1,488,489
182,fannie-farmers-classic-baked-macaroni-cheese-135350,9,1,FALSE,[8],[10],0,1,489,490
183,fannie-farmers-classic-baked-macaroni-cheese-135350,12,1,FALSE,[11],[13],0,1,490,491
184,oven-fried-chicken-chimichangas-28148,3,1,FALSE,[2],[4],0,1,491,492
185,paneras-cream-cheese-potato-soup-150863,4,1,TRUE,[3],[5],0,1,492,493
186,quot-whatever-floats-your-boat-quot-brownies-32204,4,1,FALSE,[3],[5],0,1,492,493
187,scalloped-potatoes-85629,2,1,FALSE,[1],[3],0,1,493,494
188,scalloped-potatoes-85629,3,1,FALSE,[2],[4],0,1,494,495
189,scalloped-potatoes-85629,10,1,FALSE,[9],[11],0,1,495,496
190,southern-buttermilk-biscuits-26110,5,1,FALSE,[4],[6],0,1,496,497
191,to-die-for-crock-pot-roast-27208,3,1,FALSE,[2],[4],0,1,497,498
192,best-banana-bread-2886,10,0,TRUE,[9],[],0,0,498,498
193,creamy-burrito-casserole-33919,9,0,FALSE,[8],[10],0,0,498,498
194,ice-cubes-420398,4,0,FALSE,[3],[5],0,0,498,498
195,oatmeal-raisin-cookies-35813,7,0,FALSE,[6],[8],0,0,498,498
196,pancakes-25690,5,0,FALSE,[3],[6],0,0,498,498
197,quot-whatever-floats-your-boat-quot-brownies-32204,7,0,FALSE,[6],[8],0,0,498,498
